11163
47   ( 4.07597, -0.311708)  ( 4.08652, -0.319959) 
46   ( 4.0606, -0.305604)  ( 4.07597, -0.311708) 
44   ( 4.04523, -0.2995)  ( 4.0606, -0.305604) 
45   ( 4.02846, -0.290683)  ( 4.04523, -0.2995) 
46   ( 4.0606, -0.305604)  ( 4.06085, -0.304957) 
46   ( 4.0117, -0.281867)  ( 4.02846, -0.290683) 
46   ( 3.99585, -0.269898)  ( 4.0117, -0.281867) 
47   ( 4.02846, -0.290683)  ( 4.04101, -0.286626) 
46   ( 3.98001, -0.25793)  ( 3.99585, -0.269898) 
46   ( 3.96495, -0.244595)  ( 3.98001, -0.25793) 
46   ( 3.99585, -0.269898)  ( 4.0006, -0.246674) 
46   ( 3.94988, -0.23126)  ( 3.96495, -0.244595) 
46   ( 3.93543, -0.218413)  ( 3.94988, -0.23126) 
47   ( 3.96495, -0.244595)  ( 3.97539, -0.232791) 
47   ( 3.92099, -0.205566)  ( 3.93543, -0.218413) 
47   ( 3.90701, -0.195061)  ( 3.92099, -0.205566) 
47   ( 3.93543, -0.218413)  ( 3.95525, -0.208524) 
47   ( 3.89303, -0.184557)  ( 3.90701, -0.195061) 
47   ( 3.87936, -0.178251)  ( 3.89303, -0.184557) 
47   ( 3.90701, -0.195061)  ( 3.93112, -0.173171) 
47   ( 3.86569, -0.171945)  ( 3.87936, -0.178251) 
47   ( 3.85226, -0.170402)  ( 3.86569, -0.171945) 
47   ( 3.87936, -0.178251)  ( 3.88187, -0.161633) 
47   ( 3.83882, -0.168858)  ( 3.85226, -0.170402) 
46   ( 3.82572, -0.16874)  ( 3.83882, -0.168858) 
47   ( 3.85226, -0.170402)  ( 3.85484, -0.153805) 
46   ( 3.81263, -0.168622)  ( 3.82572, -0.16874) 
47   ( 3.79988, -0.169019)  ( 3.81263, -0.168622) 
45   ( 3.82572, -0.16874)  ( 3.82586, -0.15418) 
47   ( 3.78712, -0.169416)  ( 3.79988, -0.169019) 
47   ( 3.77484, -0.170275)  ( 3.78712, -0.169416) 
46   ( 3.79988, -0.169019)  ( 3.79942, -0.15502) 
47   ( 3.76255, -0.171133)  ( 3.77484, -0.170275) 
47   ( 3.75093, -0.172436)  ( 3.76255, -0.171133) 
47   ( 3.77484, -0.170275)  ( 3.77378, -0.159048) 
47   ( 3.73931, -0.173739)  ( 3.75093, -0.172436) 
47   ( 3.72841, -0.175467)  ( 3.73931, -0.173739) 
47   ( 3.75093, -0.172436)  ( 3.74998, -0.166093) 
47   ( 3.71752, -0.177194)  ( 3.72841, -0.175467) 
47   ( 3.70742, -0.179317)  ( 3.71752, -0.177194) 
